fdc_id,food_name,protein,fat,carbohydrates,calories,food_category,serving_size
319877,Hummus,,19.0,,,Legumes and Legume Products,
319878,Hummus,,,,,Legumes and Legume Products,
319882,Hummus,,18.7,,,Legumes and Legume Products,
319883,Hummus,,,,,Legumes and Legume Products,
319884,Hummus,,,,,Legumes and Legume Products,
319892,Hummus,,16.6,,,Legumes and Legume Products,
319893,Hummus,,,,,Legumes and Legume Products,
319899,Hummus,,19.1,,,Legumes and Legume Products,
319900,Hummus,,,,,Legumes and Legume Products,
319906,Hummus - NFY12140O,,,,,Legumes and Legume Products,
319907,Hummus - NFY12140P,,,,,Legumes and Legume Products,
319908,Hummus,,18.2,,,Legumes and Legume Products,
319909,Hummus,,,,,Legumes and Legume Products,
319910,Hummus,,,,,Legumes and Legume Products,
319911,Hummus,,,,,Legumes and Legume Products,
319912,Hummus,,,,,Legumes and Legume Products,
319913,Hummus,,,,,Legumes and Legume Products,
319914,Hummus,,,,,Legumes and Legume Products,
319915,Hummus - NFY12140Q,,,,,Legumes and Legume Products,
319916,Hummus - NFY12140R,,,,,Legumes and Legume Products,
319917,Hummus - NFY12140S,,,,,Legumes and Legume Products,
319918,Hummus - NFY12140F,,,,,Legumes and Legume Products,
319919,Hummus - NFY12140G,,,,,Legumes and Legume Products,
319920,"Hummus, Sabra Classic - CA1, IN",,,,,Legumes and Legume Products,
319926,Hummus - NFY12141C,,,,,Legumes and Legume Products,
319927,Hummus - NFY12141D,,,,,Legumes and Legume Products,
319928,Hummus,,18.0,,,Legumes and Legume Products,
319929,Hummus,,,,,Legumes and Legume Products,
319930,Hummus,,,,,Legumes and Legume Products,
319931,Hummus,,,,,Legumes and Legume Products,
319932,Hummus,,,,,Legumes and Legume Products,
319933,Hummus - NFY12141E,,,,,Legumes and Legume Products,
319934,Hummus - NFY12141F,,,,,Legumes and Legume Products,
319935,Hummus - NFY12141G,,,,,Legumes and Legume Products,
319936,Hummus - NFY12141H,,,,,Legumes and Legume Products,
319937,Hummus - NFY121416,,,,,Legumes and Legume Products,
319938,"Hummus, Sabra Classic - GA, NJ",,,,,Legumes and Legume Products,
319944,Hummus - NFY1213ZV,,,,,Legumes and Legume Products,
319945,Hummus - NFY1213ZW,,,,,Legumes and Legume Products,
319946,Hummus,,18.2,,,Legumes and Legume Products,
319947,Hummus,,,,,Legumes and Legume Products,
319948,Hummus,,,,,Legumes and Legume Products,
319949,Hummus,,,,,Legumes and Legume Products,
319950,Hummus,,,,,Legumes and Legume Products,
319951,Hummus - NFY1213ZX,,,,,Legumes and Legume Products,
319952,Hummus - NFY1213ZY,,,,,Legumes and Legume Products,
319953,Hummus - NFY1213ZZ,,,,,Legumes and Legume Products,
319954,Hummus - NFY121400,,,,,Legumes and Legume Products,
319955,Hummus,,,,,Legumes and Legume Products,
319956,Hummus - NFY1213ZP,,,,,Legumes and Legume Products,
319957,"Hummus, Sabra Classic - KY, CA2",,,,,Legumes and Legume Products,
319965,Hummus - NFY12143C,,,,,Legumes and Legume Products,
319966,Hummus - NFY12143D,,,,,Legumes and Legume Products,
319967,Hummus,,14.8,,,Legumes and Legume Products,
319968,Hummus,,,,,Legumes and Legume Products,
319969,Hummus,,,,,Legumes and Legume Products,
319970,Hummus,,,,,Legumes and Legume Products,
319971,Hummus,,,,,Legumes and Legume Products,
319972,Hummus,,,,,Legumes and Legume Products,
319973,Hummus - NFY12143E,,,,,Legumes and Legume Products,
319974,Hummus - NFY12143F,,,,,Legumes and Legume Products,
319975,Hummus - NFY12143G,,,,,Legumes and Legume Products,
319976,Hummus - NFY121435,,,,,Legumes and Legume Products,
319977,"Hummus, Tribe Classic - GA, NJ",,,,,Legumes and Legume Products,
319981,Hummus,,11.9,,,Legumes and Legume Products,
319982,Hummus,,,,,Legumes and Legume Products,
319983,Hummus,,,,,Legumes and Legume Products,
319991,Hummus - NFY12141W,,,,,Legumes and Legume Products,
319992,Hummus - NFY12141X,,,,,Legumes and Legume Products,
319993,Hummus,,15.2,,,Legumes and Legume Products,
319994,Hummus,,,,,Legumes and Legume Products,
319995,Hummus,,,,,Legumes and Legume Products,
319996,Hummus,,,,,Legumes and Legume Products,
319997,Hummus,,,,,Legumes and Legume Products,
319998,Hummus,,,,,Legumes and Legume Products,
319999,Hummus - NFY12141Y,,,,,Legumes and Legume Products,
320000,Hummus - NFY12141Z,,,,,Legumes and Legume Products,
320001,Hummus - NFY121420,,,,,Legumes and Legume Products,
320002,Hummus - NFY121421,,,,,Legumes and Legume Products,
320003,Hummus - NFY12141P,,,,,Legumes and Legume Products,
320004,"Hummus, Tribe Classic - KY, PA",,,,,Legumes and Legume Products,
320011,Hummus - NFY12142M,,,,,Legumes and Legume Products,
320012,Hummus - NFY12142N,,,,,Legumes and Legume Products,
320013,Hummus,,18.8,,,Legumes and Legume Products,
320014,Hummus,,,,,Legumes and Legume Products,
320015,Hummus,,,,,Legumes and Legume Products,
320016,Hummus,,,,,Legumes and Legume Products,
320017,Hummus,,,,,Legumes and Legume Products,
320018,Hummus - NFY12142O,,,,,Legumes and Legume Products,
320019,Hummus - NFY12142P,,,,,Legumes and Legume Products,
320020,Hummus - NFY12142Q,,,,,Legumes and Legume Products,
320021,Hummus - NFY12142R,,,,,Legumes and Legume Products,
320022,Hummus - NFY12142G,,,,,Legumes and Legume Products,
